RespondentID,dCountry,Country_ISO,Q45B,Q55,Q6,Q21_Gender,Q21_Age,Q30,Q31,Q42,Q62,WEIGHT,mainpropsec_web,mainpropdoc_web,reason_1_web,reason_2_web,reason_3_web,reason_4_web,reason_5_web,reason_6_web,reason_7_web,ISO_Alpha_2_code,ISO_Alpha_3_code,ISO_Numeric
1.00039E+13,39,PSE,0,1,1,1,2,3,1,1,1,0.315549751,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,2,1,1,0.273869812,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,1,1,4,2,3,1,2.507017745,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,1,4,1,3,1,1.159247634,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,2,3,1,3,1,0.953935598,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,4,1,1,1,0.524910493,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,2,2,1,2,3,4,1,1,1,0.547739623,2,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,3,1,2,2,4,1,3,1,0.676346029,1,3,2,1,1,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,1,1,0.264123269,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,2,1,3,0,0.264123269,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,2,3,1,2,1,4,1,999,999,2.384838995,2,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,3,4,2,3,1,0.273869812,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,2,4,2,3,1,0.360130974,1,1,2,1,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,1,2,1,1,2,1,2,3,1,1.334900635,1,2,2,2,1,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,4,2,1,1,0.719751395,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,1,1,0.645052678,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,2,1,1,0,2.159254184,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,2,1,0.273869812,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,3,1,1,1,1.527097429,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,4,2,1,1,0.315549751,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,3,3,0,1.138079246,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,2,1,1,2,4,1,2,1,0.446174624,1,2,1,2,2,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,2,3,1,0.953935598,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,2,2,1,2,3,4,2,1,1,0.758719497,2,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,1,4,1,3,0,1.907871196,1,1,2,2,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,1,1,1,1,0.719751395,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,1,3,1,999,1,2.087098998,1,1,1,2,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,2,1,1.407466082,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,3,2,1,0,1.014519043,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,1,2,1,0,1.570127795,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,1,0.360130974,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,4,1,1,1,0.892543082,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,1,4,1,1,1,2.641232694,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,2,4,1,3,0,1.015875726,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,3,3,0,0.547739623,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,3,1,1,0.338173014,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,1,2,1,2,2,1,0.599338517,1,1,2,2,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,2,2,1,2,2,2,3,3,1,0.796756572,2,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,4,1,1,1,0.32539255,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,1,4,1,3,1,1.739249165,0,2,5,5,5,5,5,5,5,PS,PSE,275
